[0.000000] (-) TimerEvent: {}
[0.000912] (autonomous_robot_description) JobQueued: {'identifier': 'autonomous_robot_description', 'dependencies': OrderedDict()}
[0.001307] (autonomous_robot_description) JobStarted: {'identifier': 'autonomous_robot_description'}
[0.020907] (autonomous_robot_description) JobProgress: {'identifier': 'autonomous_robot_description', 'progress': 'cmake'}
[0.022187] (autonomous_robot_description) JobProgress: {'identifier': 'autonomous_robot_description', 'progress': 'build'}
[0.023577] (autonomous_robot_description) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/tamir/autonomous_robot/autonomous_robot_description/build/autonomous_robot_description', '--', '-j12', '-l12'], 'cwd': '/home/tamir/autonomous_robot/autonomous_robot_description/build/autonomous_robot_description', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('LANGUAGE', 'en_US:en'), ('USER', 'tamir'), ('LC_TIME', 'en_IL.UTF-8'), ('XDG_SESSION_TYPE', 'wayland'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/tamir/autonomous_robot/install/robot_common_interfaces/lib:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/pointcloud_to_laserscan/lib:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs/lib:/home/tamir/ros2_ws/install/my_turtle_interfaces/lib:/home/tamir/ros2_ws/install/my_robot_interfaces/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib::/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:'), ('HOME', '/home/tamir'), ('OLDPWD', '/home/tamir/autonomous_robot'), ('DESKTOP_SESSION', 'ubuntu'), ('GIO_LAUNCHED_DESKTOP_FILE', '/usr/share/applications/terminator.desktop'), ('GAZEBO_MASTER_URI', 'http://localhost:11345'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'en_IL.UTF-8'), ('MANAGERPID', '1036'), ('SYSTEMD_EXEC_PID', '1251'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('TERMINATOR_DBUS_NAME', 'net.tenshu.Terminator25ef4b219e3b005583550f2b0f9f990c3'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '65137'), ('IM_CONFIG_PHASE', '1'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/tamir/autonomous_robot/autonomous_robot_description/install:/home/tamir/autonomous_robot/install:/home/tamir/install:/home/tamir/turtlebot3_ws/install:/home/tamir/ros2_ws/install:/home/tamir/autonomous_robot/autonomous_robot_control/install:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'tamir'), ('JOURNAL_STREAM', '8:9822'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'tamir'), ('TERM', 'xterm-256color'), ('GAZEBO_MODEL_PATH', '/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world/share/aws_robomaker_small_warehouse_world/worlds:/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world/share/aws_robomaker_small_warehouse_world/models:/usr/share/gazebo-11/models:'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('OGRE_RESOURCE_PATH', '/usr/lib/x86_64-linux-gnu/OGRE-1.9.0'), ('PATH', '/opt/ros/humble/bin:/home/tamir/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/tamir-Lenovo-V14-G4-IRU:@/tmp/.ICE-unix/1221,unix/tamir-Lenovo-V14-G4-IRU:/tmp/.ICE-unix/1221'), ('INVOCATION_ID', '1ba8bb27ed3045df80a250b2b3c7aaeb'), ('PAPERSIZE', 'a4'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'en_IL.UTF-8'), ('GNOME_SETUP_DISPLAY', ':1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('TERMINATOR_DBUS_PATH', '/net/tenshu/Terminator2'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('IBUS_DISABLE_SNOOPER', '1'), ('LC_TELEPHONE', 'en_IL.UTF-8'), ('RMW_IMPLEMENTATION', 'rmw_cyclonedds_cpp'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.D7FEY2'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/tamir/autonomous_robot/install/sensors_package:/home/tamir/autonomous_robot/install/joystick:/home/tamir/autonomous_robot/install/calc_odom:/home/tamir/autonomous_robot/install/robot_common_interfaces:/home/tamir/autonomous_robot/install/control_hardware:/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world:/home/tamir/autonomous_robot/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_control/install/joystick:/home/tamir/autonomous_robot/autonomous_robot_control/install/control_hardware:/home/tamir/autonomous_robot/autonomous_robot_control/install/calc_odom:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/pointcloud_to_laserscan:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_driver:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs:/home/tamir/ros2_ws/install/turtle_spawner:/home/tamir/ros2_ws/install/turtle_controller:/home/tamir/ros2_ws/install/my_turtle_interfaces:/home/tamir/ros2_ws/install/my_py_pkg:/home/tamir/ros2_ws/install/my_robot_interfaces:/home/tamir/ros2_ws/install/my_robot_bringup:/home/tamir/ros2_ws/install/my_robot_description:/home/tamir/ros2_ws/install/my_cpp_pkg:/home/tamir/turtlebot3_ws/install/turtlebot3_simulations:/home/tamir/turtlebot3_ws/install/turtlebot3_gazebo:/home/tamir/turtlebot3_ws/install/turtlebot3_fake_node:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'en_IL.UTF-8'), ('TERMINATOR_UUID', 'urn:uuid:41764748-30c9-4c5a-a8b1-9d37915f2e4f'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'en_IL.UTF-8'), ('GAZEBO_RESOURCE_PATH', '/usr/share/gazebo-11:'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'en_IL.UTF-8'), ('GAZEBO_MODEL_DATABASE_URI', 'http://models.gazebosim.org'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/tamir/autonomous_robot/autonomous_robot_description/build/autonomous_robot_description'), ('TURTLEBOT3_MODEL', 'waffle'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('GAZEBO_PLUGIN_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/tamir/autonomous_robot/install/calc_odom/lib/python3.10/site-packages:/home/tamir/autonomous_robot/install/robot_common_interfaces/local/lib/python3.10/dist-packages:/home/tamir/autonomous_robot/install/control_hardware/lib/python3.10/site-packages:/home/tamir/autonomous_robot/autonomous_robot_control/install/control_hardware/lib/python3.10/site-packages:/home/tamir/autonomous_robot/autonomous_robot_control/install/calc_odom/lib/python3.10/site-packages:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs/local/lib/python3.10/dist-packages:/home/tamir/ros2_ws/install/turtle_spawner/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/turtle_controller/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/my_turtle_interfaces/local/lib/python3.10/dist-packages:/home/tamir/ros2_ws/install/my_turtle_interfaces/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/my_py_pkg/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/my_robot_interfaces/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'en_IL.UTF-8'), ('LC_PAPER', 'en_IL.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/tamir/autonomous_robot/install/sensors_package:/home/tamir/autonomous_robot/install/joystick:/home/tamir/autonomous_robot/install/robot_common_interfaces:/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world:/home/tamir/autonomous_robot/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_control/install/joystick:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/pointcloud_to_laserscan:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_driver:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs:/home/tamir/ros2_ws/install/my_turtle_interfaces:/home/tamir/ros2_ws/install/my_robot_interfaces:/home/tamir/ros2_ws/install/my_robot_bringup:/home/tamir/ros2_ws/install/my_robot_description:/home/tamir/ros2_ws/install/my_cpp_pkg:/home/tamir/turtlebot3_ws/install/turtlebot3_simulations:/home/tamir/turtlebot3_ws/install/turtlebot3_gazebo:/home/tamir/turtlebot3_ws/install/turtlebot3_fake_node:/home/tamir/install/my_robot_description:/home/tamir/install/autonomous_robot_description:/home/tamir/autonomous_robot/install/calc_odom:/home/tamir/autonomous_robot/install/control_hardware:/home/tamir/autonomous_robot/autonomous_robot_control/install/control_hardware:/home/tamir/autonomous_robot/autonomous_robot_control/install/calc_odom:/home/tamir/ros2_ws/install/turtle_spawner:/home/tamir/ros2_ws/install/turtle_controller:/home/tamir/ros2_ws/install/my_py_pkg:/opt/ros/humble')]), 'shell': False}
[0.099531] (-) TimerEvent: {}
[0.116220] (autonomous_robot_description) CommandEnded: {'returncode': 0}
[0.150869] (autonomous_robot_description) JobProgress: {'identifier': 'autonomous_robot_description', 'progress': 'install'}
[0.163599] (autonomous_robot_description) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/tamir/autonomous_robot/autonomous_robot_description/build/autonomous_robot_description'], 'cwd': '/home/tamir/autonomous_robot/autonomous_robot_description/build/autonomous_robot_description', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('LANGUAGE', 'en_US:en'), ('USER', 'tamir'), ('LC_TIME', 'en_IL.UTF-8'), ('XDG_SESSION_TYPE', 'wayland'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/tamir/autonomous_robot/install/robot_common_interfaces/lib:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/pointcloud_to_laserscan/lib:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs/lib:/home/tamir/ros2_ws/install/my_turtle_interfaces/lib:/home/tamir/ros2_ws/install/my_robot_interfaces/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib::/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:'), ('HOME', '/home/tamir'), ('OLDPWD', '/home/tamir/autonomous_robot'), ('DESKTOP_SESSION', 'ubuntu'), ('GIO_LAUNCHED_DESKTOP_FILE', '/usr/share/applications/terminator.desktop'), ('GAZEBO_MASTER_URI', 'http://localhost:11345'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'en_IL.UTF-8'), ('MANAGERPID', '1036'), ('SYSTEMD_EXEC_PID', '1251'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('TERMINATOR_DBUS_NAME', 'net.tenshu.Terminator25ef4b219e3b005583550f2b0f9f990c3'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '65137'), ('IM_CONFIG_PHASE', '1'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/tamir/autonomous_robot/autonomous_robot_description/install:/home/tamir/autonomous_robot/install:/home/tamir/install:/home/tamir/turtlebot3_ws/install:/home/tamir/ros2_ws/install:/home/tamir/autonomous_robot/autonomous_robot_control/install:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'tamir'), ('JOURNAL_STREAM', '8:9822'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'tamir'), ('TERM', 'xterm-256color'), ('GAZEBO_MODEL_PATH', '/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world/share/aws_robomaker_small_warehouse_world/worlds:/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world/share/aws_robomaker_small_warehouse_world/models:/usr/share/gazebo-11/models:'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('OGRE_RESOURCE_PATH', '/usr/lib/x86_64-linux-gnu/OGRE-1.9.0'), ('PATH', '/opt/ros/humble/bin:/home/tamir/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/tamir-Lenovo-V14-G4-IRU:@/tmp/.ICE-unix/1221,unix/tamir-Lenovo-V14-G4-IRU:/tmp/.ICE-unix/1221'), ('INVOCATION_ID', '1ba8bb27ed3045df80a250b2b3c7aaeb'), ('PAPERSIZE', 'a4'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'en_IL.UTF-8'), ('GNOME_SETUP_DISPLAY', ':1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('TERMINATOR_DBUS_PATH', '/net/tenshu/Terminator2'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('IBUS_DISABLE_SNOOPER', '1'), ('LC_TELEPHONE', 'en_IL.UTF-8'), ('RMW_IMPLEMENTATION', 'rmw_cyclonedds_cpp'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.D7FEY2'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/tamir/autonomous_robot/install/sensors_package:/home/tamir/autonomous_robot/install/joystick:/home/tamir/autonomous_robot/install/calc_odom:/home/tamir/autonomous_robot/install/robot_common_interfaces:/home/tamir/autonomous_robot/install/control_hardware:/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world:/home/tamir/autonomous_robot/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_control/install/joystick:/home/tamir/autonomous_robot/autonomous_robot_control/install/control_hardware:/home/tamir/autonomous_robot/autonomous_robot_control/install/calc_odom:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/pointcloud_to_laserscan:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_driver:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs:/home/tamir/ros2_ws/install/turtle_spawner:/home/tamir/ros2_ws/install/turtle_controller:/home/tamir/ros2_ws/install/my_turtle_interfaces:/home/tamir/ros2_ws/install/my_py_pkg:/home/tamir/ros2_ws/install/my_robot_interfaces:/home/tamir/ros2_ws/install/my_robot_bringup:/home/tamir/ros2_ws/install/my_robot_description:/home/tamir/ros2_ws/install/my_cpp_pkg:/home/tamir/turtlebot3_ws/install/turtlebot3_simulations:/home/tamir/turtlebot3_ws/install/turtlebot3_gazebo:/home/tamir/turtlebot3_ws/install/turtlebot3_fake_node:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'en_IL.UTF-8'), ('TERMINATOR_UUID', 'urn:uuid:41764748-30c9-4c5a-a8b1-9d37915f2e4f'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'en_IL.UTF-8'), ('GAZEBO_RESOURCE_PATH', '/usr/share/gazebo-11:'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'en_IL.UTF-8'), ('GAZEBO_MODEL_DATABASE_URI', 'http://models.gazebosim.org'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/tamir/autonomous_robot/autonomous_robot_description/build/autonomous_robot_description'), ('TURTLEBOT3_MODEL', 'waffle'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('GAZEBO_PLUGIN_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/tamir/autonomous_robot/install/calc_odom/lib/python3.10/site-packages:/home/tamir/autonomous_robot/install/robot_common_interfaces/local/lib/python3.10/dist-packages:/home/tamir/autonomous_robot/install/control_hardware/lib/python3.10/site-packages:/home/tamir/autonomous_robot/autonomous_robot_control/install/control_hardware/lib/python3.10/site-packages:/home/tamir/autonomous_robot/autonomous_robot_control/install/calc_odom/lib/python3.10/site-packages:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs/local/lib/python3.10/dist-packages:/home/tamir/ros2_ws/install/turtle_spawner/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/turtle_controller/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/my_turtle_interfaces/local/lib/python3.10/dist-packages:/home/tamir/ros2_ws/install/my_turtle_interfaces/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/my_py_pkg/lib/python3.10/site-packages:/home/tamir/ros2_ws/install/my_robot_interfaces/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'en_IL.UTF-8'), ('LC_PAPER', 'en_IL.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/tamir/autonomous_robot/install/sensors_package:/home/tamir/autonomous_robot/install/joystick:/home/tamir/autonomous_robot/install/robot_common_interfaces:/home/tamir/autonomous_robot/install/aws_robomaker_small_warehouse_world:/home/tamir/autonomous_robot/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description:/home/tamir/autonomous_robot/autonomous_robot_control/install/joystick:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/pointcloud_to_laserscan:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_driver:/home/tamir/autonomous_robot/sensors_package/src/lidar_ws/install/lslidar_msgs:/home/tamir/ros2_ws/install/my_turtle_interfaces:/home/tamir/ros2_ws/install/my_robot_interfaces:/home/tamir/ros2_ws/install/my_robot_bringup:/home/tamir/ros2_ws/install/my_robot_description:/home/tamir/ros2_ws/install/my_cpp_pkg:/home/tamir/turtlebot3_ws/install/turtlebot3_simulations:/home/tamir/turtlebot3_ws/install/turtlebot3_gazebo:/home/tamir/turtlebot3_ws/install/turtlebot3_fake_node:/home/tamir/install/my_robot_description:/home/tamir/install/autonomous_robot_description:/home/tamir/autonomous_robot/install/calc_odom:/home/tamir/autonomous_robot/install/control_hardware:/home/tamir/autonomous_robot/autonomous_robot_control/install/control_hardware:/home/tamir/autonomous_robot/autonomous_robot_control/install/calc_odom:/home/tamir/ros2_ws/install/turtle_spawner:/home/tamir/ros2_ws/install/turtle_controller:/home/tamir/ros2_ws/install/my_py_pkg:/opt/ros/humble')]), 'shell': False}
[0.180143] (autonomous_robot_description) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.181023] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config\n'}
